-9.316,    0,    0
-9.226,2.529,4.743
-9.177,2.082,6.774
-9.118,1.938,3.235
-9.095,1.186,1.521
-8.973,3.195,7.203
-8.399,2.561,5.706
-8.284,3.666,8.437
-7.642,2.413,7.331
-9.303,    0,    0
-9.259,2.524,4.781
-9.225,2.119,6.773
-9.142,1.153,1.597
-9.141,1.932,3.218
-8.899,3.182,7.169
-8.537,2.244, 5.83
-8.428,2.547,5.716
-8.397,1.373,4.196
 -9.33,    0,    0
 -9.28,1.984,3.302
-9.257,2.063,6.729
-9.098, 2.62,4.694
-9.057,1.181,1.714
-8.909,3.208,7.206
-8.503,2.247,5.818
-8.413,2.509, 5.66
 -8.27,1.762,2.772
-9.295,    0,    0
-9.282,1.913, 3.47
-9.233,2.152,6.714
-9.104,2.565,4.747
-9.052,1.139,1.667
 -8.96,3.178,7.169
 -8.54,2.247,5.838
-8.438,3.461,7.144
-8.285,1.363,4.171
 -9.32,    0,    0
-9.285,2.527,4.634
-9.137,1.908,3.241
 -9.05,1.142,1.673
-8.925,3.229,7.205
-8.336,2.266,5.557
-8.233,1.288,4.216
-8.076, 1.86,4.266
-7.846,2.411,7.344
