6.99764,-9.332
7.26168,-9.321
6.21196,-9.28
6.31498,-9.17
6.83561,-9.021
1.62129,-8.973
6.68727,-8.483
6.29665,-8.367
6.73172,-7.88
7.2539,-9.303
6.13824,-9.225
7.00276,-9.2
6.45817,-9.099
6.84793,-9.021
1.60177,-8.945
7.10248,-8.435
7.49915,-8.327
6.7975,-7.815
6.22297,-9.377
7.22922,-9.332
6.36272,-9.264
6.84992,-9.04
1.57958,-8.918
6.71471,-8.545
7.20832,-8.375
5.71902,-8.246
6.76561,-7.955
6.23169,-9.29
7.23705,-9.289
7.00123,-9.271
6.8813,-9.09
6.4019,-9.042
1.58258,-8.907
6.60753,-8.479
6.21848,-8.369
6.78112,-7.768
7.25734,-9.331
6.17541,-9.258
6.98118,-9.252
6.39769,-9.117
6.83355,-8.996
1.58291,-8.922
7.02064,-8.796
6.76332,-8.517
7.11109,-8.417
